"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1",1,"Christian McCaffrey",CAR,"RB1","1","4","1.1","0.2"
"2",1,"Dalvin Cook",MIN,"RB2","1","4","2.2","0.5"
"3",1,"Derrick Henry",TEN,"RB3","2","6","3.5","0.8"
"4",1,"Saquon Barkley",NYG,"RB4","2","14","4.4","1.5"
"5",1,"Alvin Kamara",NO,"RB5","1","8","5.0","1.5"
"6",2,"Nick Chubb",CLE,"RB6","4","9","6.5","1.2"
"7",2,"Jonathan Taylor",IND,"RB7","4","27","6.7","1.7"
"8",2,"Aaron Jones",GB,"RB8","5","14","8.6","2.2"
"9",2,"Tyreek Hill",KC,"WR1","10","12","10.1","0.3"
"10",2,"Ezekiel Elliott",DAL,"RB9","5","34","10.7","6.0"
"11",2,"Davante Adams",GB,"WR2","10","11","10.9","0.2"
"12",3,"Cam Akers",LAR,"RB10","6","40","13.6","6.8"
"13",3,"D.K. Metcalf",SEA,"WR3","13","24","15.3","3.8"
"14",3,"Stefon Diggs",BUF,"WR4","13","24","17.0","2.7"
"15",3,"Travis Kelce",KC,"TE1","15","17","17.0","0.0"
"16",3,"A.J. Brown",TEN,"WR5","13","29","18.8","4.5"
"17",3,"Patrick Mahomes II",KC,"QB1","19","32","19.0","0.0"
"18",3,"Calvin Ridley",ATL,"WR6","13","29","19.0","3.8"
"19",3,"DeAndre Hopkins",ARI,"WR7","13","30","19.6","2.8"
"20",4,"Miles Sanders",PHI,"RB11","8","59","21.0","9.5"
"21",4,"George Kittle",SF,"TE2","18","53","22.1","9.1"
"22",4,"Antonio Gibson",WAS,"RB12","9","51","22.6","8.8"
"23",4,"Justin Jefferson",MIN,"WR8","15","33","23.1","2.6"
"24",4,"J.K. Dobbins",BAL,"RB13","8","47","24.4","8.9"
"25",4,"Joe Mixon",CIN,"RB14","12","57","27.3","10.5"
"26",4,"Allen Robinson II",CHI,"WR9","25","39","30.0","3.9"
"27",4,"Austin Ekeler",LAC,"RB15","12","42","30.4","3.8"
"28",5,"Keenan Allen",LAC,"WR10","21","43","31.1","4.3"
"29",5,"Mike Evans",TB,"WR11","16","43","31.4","4.3"
"30",5,"Mark Andrews",BAL,"TE3","18","63","32.8","11.5"
"31",5,"Julio Jones",ATL,"WR12","24","55","33.5","5.7"
"32",5,"D'Andre Swift",DET,"RB16","14","57","34.2","7.2"
"33",5,"Michael Thomas",NO,"WR13","15","55","34.2","3.0"
"34",5,"Terry McLaurin",WAS,"WR14","21","45","34.2","4.8"
"35",5,"James Robinson",JAC,"RB17","19","47","34.6","7.9"
"36",5,"Chris Godwin",TB,"WR15","24","49","34.6","5.4"
"37",5,"Josh Jacobs",LV,"RB18","9","59","35.8","12.9"
"38",5,"Darren Waller",LV,"TE4","18","53","35.9","11.3"
"39",5,"Clyde Edwards-Helaire",KC,"RB19","14","76","37.0","10.2"
"40",5,"D.J. Moore",CAR,"WR16","25","58","38.9","6.3"
"41",5,"Adam Thielen",MIN,"WR17","32","64","39.9","4.3"
"42",5,"Kenny Golladay",NYG,"WR18","25","72","40.4","6.1"
"43",5,"Josh Allen",BUF,"QB2","38","61","41.4","6.6"
"44",5,"Robert Woods",LAR,"WR19","33","65","43.9","4.9"
"45",5,"Amari Cooper",DAL,"WR20","25","64","44.1","7.4"
"46",6,"David Montgomery",CHI,"RB20","27","71","46.8","8.3"
"47",6,"Chris Carson",SEA,"RB21","22","71","47.7","10.0"
"48",6,"CeeDee Lamb",DAL,"WR21","32","73","50.1","6.7"
"49",6,"Odell Beckham Jr.",CLE,"WR22","35","73","50.4","9.3"
"50",6,"Kyler Murray",ARI,"QB3","38","70","53.5","7.8"
"51",6,"Brandon Aiyuk",SF,"WR23","37","86","54.2","10.4"
"52",6,"T.J. Hockenson",DET,"TE5","46","78","54.7","4.1"
"53",6,"Diontae Johnson",PIT,"WR24","40","65","54.7","4.1"
"54",6,"Tee Higgins",CIN,"WR25","32","222","55.1","10.8"
"55",6,"Melvin Gordon III",DEN,"RB22","27","89","56.1","10.2"
"56",6,"Lamar Jackson",BAL,"QB4","54","77","58.1","4.4"
"57",6,"Kareem Hunt",CLE,"RB23","44","76","58.1","5.2"
"58",6,"Will Fuller V",MIA,"WR26","43","79","58.5","7.8"
"59",6,"Dak Prescott",DAL,"QB5","38","87","60.6","5.7"
"60",6,"Courtland Sutton",DEN,"WR27","45","99","62.5","7.3"
"61",6,"Chase Claypool",PIT,"WR28","48","75","64.0","7.0"
"62",7,"Tyler Lockett",SEA,"WR29","50","82","65.5","8.5"
"63",7,"Ronald Jones II",TB,"RB24","47","103","68.7","9.6"
"64",7,"Cooper Kupp",LAR,"WR30","50","88","68.8","6.4"
"65",7,"Damien Harris",NE,"RB25","44","89","68.9","10.1"
"66",7,"D.J. Chark Jr.",JAC,"WR31","55","86","69.2","7.0"
"67",7,"Aaron Rodgers",GB,"QB6","54","91","71.5","8.0"
"68",7,"Raheem Mostert",SF,"RB26","51","98","73.0","10.5"
"69",7,"Dallas Goedert",PHI,"TE6","53","121","74.8","10.2"
"70",7,"Russell Wilson",SEA,"QB7","61","91","75.5","6.9"
"71",7,"Noah Fant",DEN,"TE7","52","121","75.8","15.8"
"72",7,"JuJu Smith-Schuster",PIT,"WR32","58","101","76.5","8.4"
"73",7,"David Johnson",HOU,"RB27","51","104","77.5","9.9"
