"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","5","1.7","0.8","1.0","0.0"
"2","1","","Ezekiel Elliott","DAL","RB2","8","1","7","2.1","1.2","2.0","0.0"
"3","1","","Christian McCaffrey","CAR","RB3","7","1","6","3.0","1.1","3.0","0.0"
"4","1","","Alvin Kamara","NO","RB4","9","1","7","3.4","0.9","4.0","0.0"
"5","1","","David Johnson","ARI","RB5","12","3","25","6.8","3.2","6.0","+1.0"
"6","1","","DeAndre Hopkins","HOU","WR1","10","5","17","8.6","2.0","7.0","+1.0"
"7","1","","Melvin Gordon","LAC","RB6","12","3","44","8.9","5.7","5.0","-2.0"
"8","1","","Davante Adams","GB","WR2","11","6","17","9.1","2.0","9.0","+1.0"
"9","2","","Joe Mixon","CIN","RB7","9","4","33","11.3","4.5","13.0","+4.0"
"10","2","","Le'Veon Bell","NYJ","RB8","4","5","41","12.1","6.7","8.0","-2.0"
"11","2","","Julio Jones","ATL","WR3","9","6","29","12.9","3.7","11.0","0.0"
"12","2","","Odell Beckham Jr.","CLE","WR4","7","5","21","13.3","3.4","16.0","+4.0"
"13","2","","James Conner","PIT","RB9","7","5","44","13.8","7.1","10.0","-3.0"
"14","2","","Travis Kelce","KC","TE1","12","9","69","14.0","2.5","15.0","+1.0"
"15","2","","Michael Thomas","NO","WR5","9","7","28","15.4","3.2","12.0","-3.0"
"16","2","","Nick Chubb","CLE","RB10","7","5","43","15.4","8.0","21.0","+5.0"
"17","2","","JuJu Smith-Schuster","PIT","WR6","7","7","35","17.3","4.6","17.0","0.0"
"18","2","","Todd Gurley","LAR","RB11","9","4","46","19.0","10.2","14.0","-4.0"
"19","2","","Dalvin Cook","MIN","RB12","12","6","54","20.2","6.7","19.0","0.0"
"20","2","","Mike Evans","TB","WR7","7","12","31","21.1","2.9","18.0","-2.0"
"21","2","","George Kittle","SF","TE2","4","13","78","22.9","7.6","35.0","+14.0"
"22","2","","Antonio Brown","OAK","WR8","6","14","34","23.0","3.6","20.0","-2.0"
"23","3","","T.Y. Hilton","IND","WR9","6","21","45","27.3","2.9","25.0","+2.0"
"24","3","","Marlon Mack","IND","RB13","6","10","94","27.5","8.3","32.0","+8.0"
"25","3","","Keenan Allen","LAC","WR10","12","21","35","28.6","2.7","27.0","+2.0"
"26","3","","Amari Cooper","DAL","WR11","8","20","42","29.2","3.8","34.0","+8.0"
"27","3","","A.J. Green","CIN","WR12","9","9","50","29.4","5.7","33.0","+6.0"
"28","3","","Damien Williams","KC","RB14","12","6","157","30.7","14.1","22.0","-6.0"
"29","3","","Adam Thielen","MIN","WR13","12","18","53","32.7","4.4","26.0","-3.0"
"30","3","","Aaron Jones","GB","RB15","11","6","62","32.7","8.1","30.0","0.0"
"31","3","","Derrick Henry","TEN","RB16","11","12","68","32.9","9.8","31.0","0.0"
"32","3","","Leonard Fournette","JAC","RB17","10","16","58","33.0","7.9","24.0","-8.0"
"33","3","","Stefon Diggs","MIN","WR14","12","21","52","34.2","4.3","36.0","+3.0"
"34","3","","Devonta Freeman","ATL","RB18","9","12","71","36.0","7.1","29.0","-5.0"
"35","3","","Patrick Mahomes","KC","QB1","12","22","84","36.3","15.0","23.0","-12.0"
"36","3","","Brandin Cooks","LAR","WR15","9","28","66","36.3","5.5","43.0","+7.0"
"37","4","","Kerryon Johnson","DET","RB19","5","20","77","40.7","10.1","38.0","+1.0"
"38","4","","Robert Woods","LAR","WR16","9","28","85","40.7","9.9","44.0","+6.0"
"39","4","","Kenny Golladay","DET","WR17","5","24","93","41.1","7.4","45.0","+6.0"
"40","4","","Zach Ertz","PHI","TE3","10","19","81","41.1","17.2","28.0","-12.0"
"41","4","","Julian Edelman","NE","WR18","10","21","105","41.7","8.9","40.0","-1.0"
"42","4","","O.J. Howard","TB","TE4","7","17","81","43.7","20.1","56.0","+14.0"
"43","4","","Sony Michel","NE","RB20","10","15","102","44.9","10.9","39.0","-4.0"
"44","4","","Tyler Lockett","SEA","WR19","11","21","78","45.7","9.7","54.0","+10.0"
"45","4","","Josh Jacobs","OAK","RB21","6","12","270","47.4","18.7","37.0","-8.0"
"46","4","","Chris Godwin","TB","WR20","7","28","93","48.5","9.4","50.0","+4.0"
"47","4","","Mark Ingram","BAL","RB22","8","15","86","49.2","8.6","41.0","-6.0"
"48","4","","Cooper Kupp","LAR","WR21","9","35","76","49.3","8.3","48.0","0.0"
"49","4","","Andrew Luck","IND","QB2","6","22","82","49.4","13.2","46.0","-3.0"
"50","4","","Phillip Lindsay","DEN","RB23","10","20","129","50.7","9.4","42.0","-8.0"
"51","4","","Deshaun Watson","HOU","QB3","10","20","76","51.4","12.5","49.0","-2.0"
"52","4","","Chris Carson","SEA","RB24","11","25","102","52.2","14.0","47.0","-5.0"
"53","4","","Kenyan Drake","MIA","RB25","5","26","135","52.5","10.8","53.0","0.0"
"54","5","","D.J. Moore","CAR","WR22","7","30","85","55.6","9.0","65.0","+11.0"
"55","5","","Aaron Rodgers","GB","QB4","11","37","90","55.8","7.5","55.0","0.0"
"56","5","","Alshon Jeffery","PHI","WR23","10","34","102","56.8","12.4","74.0","+18.0"
"57","5","","Sammy Watkins","KC","WR24","12","30","101","58.4","13.6","63.0","+6.0"
"58","5","","Calvin Ridley","ATL","WR25","9","35","76","59.5","9.2","57.0","-1.0"
"59","5","","Allen Robinson","CHI","WR26","6","37","145","60.3","14.4","79.0","+20.0"
"60","5","","David Montgomery","CHI","RB26","6","15","261","61.0","29.5","51.0","-9.0"
"61","5","","Mike Williams","LAC","WR27","12","40","84","62.9","10.4","59.0","-2.0"
"62","5","","Lamar Miller","HOU","RB27","10","44","153","64.1","12.0","70.0","+8.0"
"63","5","","Robby Anderson","NYJ","WR28","4","28","107","64.7","12.2","80.0","+17.0"
"64","5","","Hunter Henry","LAC","TE5","12","19","120","67.5","14.1","62.0","-2.0"
"65","5","","Tevin Coleman","SF","RB28","4","46","102","68.8","11.8","69.0","+4.0"
"66","5","","Derrius Guice","WAS","RB29","10","26","117","69.0","15.0","64.0","-2.0"
"67","5","","Baker Mayfield","CLE","QB5","7","57","125","69.5","10.0","67.0","0.0"
"68","5","","Tyler Boyd","CIN","WR29","9","45","130","70.1","11.4","68.0","0.0"
"69","5","","Jarvis Landry","CLE","WR30","7","48","128","73.1","12.5","66.0","-3.0"
"70","5","","Evan Engram","NYG","TE6","11","23","124","73.4","14.2","58.0","-12.0"
"71","5","","Rashaad Penny","SEA","RB30","11","43","119","74.9","13.1","78.0","+7.0"
"72","5","","Matt Ryan","ATL","QB6","9","54","116","75.0","13.0","71.0","-1.0"
"73","5","","Latavius Murray","NO","RB31","9","44","145","76.6","20.0","84.0","+11.0"
"74","5","","Corey Davis","TEN","WR31","11","44","134","77.3","15.4","93.0","+19.0"
"75","5","","Dante Pettis","SF","WR32","4","28","145","77.5","12.1","85.0","+10.0"
"76","5","","Tarik Cohen","CHI","RB32","6","26","127","77.6","16.1","61.0","-15.0"
"77","5","","Marvin Jones","DET","WR33","5","49","178","78.6","12.9","97.0","+20.0"
"78","5","","Will Fuller","HOU","WR34","10","60","151","79.5","9.4","82.0","+4.0"
"79","5","","Russell Wilson","SEA","QB7","11","22","158","79.9","16.3","76.0","-3.0"
"80","5","","James White","NE","RB33","10","43","137","80.9","17.3","60.0","-20.0"
"81","6","","Cam Newton","CAR","QB8","7","57","142","84.2","13.2","89.0","+8.0"
"82","6","","Christian Kirk","ARI","WR35","12","49","149","87.5","15.4","87.0","+5.0"
"83","6","","Carson Wentz","PHI","QB9","10","57","219","88.3","16.0","95.0","+12.0"
"84","6","","Drew Brees","NO","QB10","9","59","150","88.6","17.4","77.0","-7.0"
"85","6","","Jared Cook","NO","TE7","9","21","210","89.4","20.9","73.0","-12.0"
"86","6","","Courtland Sutton","DEN","WR36","10","60","113","89.7","11.5","103.0","+17.0"
"87","6","","Jordan Howard","PHI","RB34","10","55","162","89.7","22.8","83.0","-4.0"
"88","6","","Sterling Shepard","NYG","WR37","11","37","138","90.0","13.6","92.0","+4.0"
"89","6","","Eric Ebron","IND","TE8","6","53","191","90.8","17.9","72.0","-17.0"
"90","6","","Royce Freeman","DEN","RB35","10","36","145","92.4","16.1","94.0","+4.0"
"91","6","","Golden Tate","NYG","WR38","11","52","158","96.1","14.6","108.0","+17.0"
"92","6","","Jameis Winston","TB","QB11","7","67","121","96.3","13.3","125.0","+33.0"
"93","6","","David Njoku","CLE","TE9","7","69","251","97.1","16.6","88.0","-5.0"
"94","6","","LeSean McCoy","BUF","RB36","6","56","187","98.5","21.2","91.0","-3.0"
"95","6","","Dede Westbrook","JAC","WR39","10","52","167","98.7","17.0","106.0","+11.0"
"96","6","","Curtis Samuel","CAR","WR40","7","75","226","99.2","17.9","126.0","+30.0"
"97","6","","Jared Goff","LAR","QB12","9","61","147","100.7","12.7","99.0","+2.0"
"98","6","","Larry Fitzgerald","ARI","WR41","12","56","226","104.9","15.2","101.0","+3.0"
"99","7","","Anthony Miller","CHI","WR42","6","75","199","109.0","20.6","157.0","+58.0"
"100","7","","Ben Roethlisberger","PIT","QB13","7","75","168","110.2","14.9","115.0","+15.0"
"101","7","","Keke Coutee","HOU","WR43","10","68","168","110.3","19.6","137.0","+36.0"
"102","7","","Dak Prescott","DAL","QB14","8","59","251","111.0","16.0","132.0","+30.0"
"103","7","","Kyler Murray","ARI","QB15","12","64","266","111.3","26.6","102.0","-1.0"
"104","7","","Vance McDonald","PIT","TE10","7","53","193","111.7","22.9","86.0","-18.0"
"105","7","","Ronald Jones II","TB","RB37","7","12","224","112.3","26.8","100.0","-5.0"
"106","7","","Jerick McKinnon","SF","RB38","4","55","201","113.0","22.0","104.0","-2.0"
"107","7","","Philip Rivers","LAC","QB16","12","67","189","115.4","17.2","110.0","+3.0"
"108","7","","Geronimo Allison","GB","WR44","11","74","239","116.6","28.2","118.0","+10.0"
